Ente,Liste/Gruppi,Voti,,
VALFLORIANA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,38,,
VALFLORIANA,MIR - MODERATI IN RIVOLUZIONE,4,,
VALFLORIANA,FARE PER FERMARE IL DECLINO,4,,
VALFLORIANA,RIVOLUZIONE CIVILE,4,,
VARENA,SVP - PATT - PD - UPT,178,,
VARENA,IL POPOLO DELLA LIBERTA' - LEGA NORD,121,,
VARENA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,75,,
VARENA,RIVOLUZIONE CIVILE,14,,
VARENA,FARE PER FERMARE IL DECLINO,10,,
VARENA,MIR - MODERATI IN RIVOLUZIONE,7,,
VATTARO,SVP - PATT - PD - UPT,306,,
VATTARO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,195,,
VATTARO,IL POPOLO DELLA LIBERTA' - LEGA NORD,149,,
VATTARO,RIVOLUZIONE CIVILE,15,,
VATTARO,FARE PER FERMARE IL DECLINO,14,,
VATTARO,MIR - MODERATI IN RIVOLUZIONE,3,,
VIGNOLA-FALESINA,IL POPOLO DELLA LIBERTA' - LEGA NORD,33,,
VIGNOLA-FALESINA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,26,,
VIGNOLA-FALESINA,SVP - PATT - PD - UPT,17,,
VIGNOLA-FALESINA,RIVOLUZIONE CIVILE,4,,
VIGNOLA-FALESINA,FARE PER FERMARE IL DECLINO,2,,
VIGNOLA-FALESINA,MIR - MODERATI IN RIVOLUZIONE,0,,
VIGO DI FASSA,SVP - PATT - PD - UPT,241,,
VIGO DI FASSA,IL POPOLO DELLA LIBERTA' - LEGA NORD,186,,
VIGO DI FASSA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,103,,
VIGO DI FASSA,FARE PER FERMARE IL DECLINO,15,,
VIGO DI FASSA,MIR - MODERATI IN RIVOLUZIONE,6,,
VIGO DI FASSA,RIVOLUZIONE CIVILE,6,,
VIGOLO VATTARO,SVP - PATT - PD - UPT,609,,
VIGOLO VATTARO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,284,,
VIGOLO VATTARO,IL POPOLO DELLA LIBERTA' - LEGA NORD,239,,
VIGOLO VATTARO,FARE PER FERMARE IL DECLINO,46,,
VIGOLO VATTARO,RIVOLUZIONE CIVILE,32,,
