Ente,Liste/Gruppi,Voti,,
SANTA CRISTINA VALGARDENA,RIVOLUZIONE CIVILE,6,,
SANTA CRISTINA VALGARDENA,LA DESTRA,4,,
SANTA CRISTINA VALGARDENA,L'ALTO ADIGE NEL CUORE,1,,
SELVA DEI MOLINI,SVP,512,,
SELVA DEI MOLINI,DIE FREIHEITLICHEN,206,,
SELVA DEI MOLINI,VERDI - GRUNE - VERC,30,,
SELVA DEI MOLINI,SCELTA CIVICA CON MONTI PER L'ITALIA,14,,
SELVA DEI MOLINI,IL POPOLO DELLA LIBERTA' - LEGA NORD,12,,
SELVA DEI MOLINI,PARTITO DEMOCRATICO,7,,
SELVA DEI MOLINI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3,,
SELVA DEI MOLINI,L'ALTO ADIGE NEL CUORE,0,,
SELVA DEI MOLINI,LA DESTRA,0,,
SELVA DEI MOLINI,RIVOLUZIONE CIVILE,0,,
SELVA DI VAL GARDENA,SVP,720,,
SELVA DI VAL GARDENA,DIE FREIHEITLICHEN,169,,
SELVA DI VAL GARDENA,IL POPOLO DELLA LIBERTA' - LEGA NORD,156,,
SELVA DI VAL GARDENA,VERDI - GRUNE - VERC,115,,
SELVA DI VAL GARDENA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,102,,
SELVA DI VAL GARDENA,SCELTA CIVICA CON MONTI PER L'ITALIA,64,,
SELVA DI VAL GARDENA,PARTITO DEMOCRATICO,60,,
SELVA DI VAL GARDENA,RIVOLUZIONE CIVILE,8,,
SELVA DI VAL GARDENA,L'ALTO ADIGE NEL CUORE,3,,
SELVA DI VAL GARDENA,LA DESTRA,3,,
SESTO,SVP,616,,
SESTO,DIE FREIHEITLICHEN,237,,
SESTO,VERDI - GRUNE - VERC,48,,
SESTO,SCELTA CIVICA CON MONTI PER L'ITALIA,33,,
SESTO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,30,,
SESTO,PARTITO DEMOCRATICO,25,,
SESTO,IL POPOLO DELLA LIBERTA' - LEGA NORD,18,,
SESTO,RIVOLUZIONE CIVILE,4,,
SESTO,L'ALTO ADIGE NEL CUORE,2,,
SESTO,LA DESTRA,2,,
TERENTO,SVP,584,,
TERENTO,DIE FREIHEITLICHEN,264,,
TERENTO,VERDI - GRUNE - VERC,38,,
TERENTO,IL POPOLO DELLA LIBERTA' - LEGA NORD,12,,
TERENTO,PARTITO DEMOCRATICO,11,,
TERENTO,SCELTA CIVICA CON MONTI PER L'ITALIA,6,,
TERENTO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3,,
TERENTO,L'ALTO ADIGE NEL CUORE,1,,
TERENTO,RIVOLUZIONE CIVILE,1,,
TERENTO,LA DESTRA,0,,
TIRES,SVP,345,,
TIRES,DIE FREIHEITLICHEN,130,,
TIRES,VERDI - GRUNE - VERC,41,,
TIRES,PARTITO DEMOCRATICO,10,,
TIRES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,9,,
TIRES,SCELTA CIVICA CON MONTI PER L'ITALIA,8,,
TIRES,IL POPOLO DELLA LIBERTA' - LEGA NORD,1,,
TIRES,L'ALTO ADIGE NEL CUORE,0,,
TIRES,LA DESTRA,0,,
TIRES,RIVOLUZIONE CIVILE,0,,
VAL DI VIZZE,SVP,842,,
VAL DI VIZZE,DIE FREIHEITLICHEN,336,,
VAL DI VIZZE,PARTITO DEMOCRATICO,92,,
VAL DI VIZZE,VERDI - GRUNE - VERC,90,,
VAL DI VIZZE,IL POPOLO DELLA LIBERTA' - LEGA NORD,65,,
VAL DI VIZZE,SCELTA CIVICA CON MONTI PER L'ITALIA,49,,
VAL DI VIZZE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,48,,
VAL DI VIZZE,RIVOLUZIONE CIVILE,15,,
VAL DI VIZZE,L'ALTO ADIGE NEL CUORE,4,,
VAL DI VIZZE,LA DESTRA,1,,
VALDAORA,SVP,968,,
VALDAORA,DIE FREIHEITLICHEN,415,,
VALDAORA,VERDI - GRUNE - VERC,151,,
VALDAORA,PARTITO DEMOCRATICO,49,,
VALDAORA,SCELTA CIVICA CON MONTI PER L'ITALIA,45,,
VALDAORA,IL POPOLO DELLA LIBERTA' - LEGA NORD,31,,
VALDAORA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,16,,
VALDAORA,RIVOLUZIONE CIVILE,4,,
VALDAORA,L'ALTO ADIGE NEL CUORE,2,,
VALDAORA,LA DESTRA,1,,
